question_id,strategy,question,answer,golden_answer,quality,f1,exact_match,key_fact_recall,latency_s,prompt_tokens,completion_tokens,total_tokens,cost_usd,failure_note
q-polars-006,meta_harness_optimized,"Does Polars have an official plugin API for writing custom expressions in Rust, or do I have to use map_elements?","## Yes — Polars Has an Official Plugin API  You do **not** have to rely on `map_elements`. As of Polars 1.0, there is a stable, official plugin API for writing custom expressions in Rust.  ### How It Works  You write expressions in Rust (or any language that emits a `cdylib` exposing the Polars Arrow ABI) and register them in Python using:  ```python polars.plugins.register_plugin_function(     plugin_path=...,     function_name=...,     args=...,     is_elementwise=... ) ```  This lets you expo","Yes — the Polars plugin API is stable as of 1.0. Register Rust (or any cdylib) extensions via `polars.plugins.register_plugin_function(plugin_path=..., function_name=..., args=..., is_elementwise=...)`. Use the `pyo3-polars` cookiecutter template. Plugins are roughly 10-100x faster than `map_element",1.0,0.328,0.0,0.2,9.562,14911,445,15356,0.05497,"Answer covers all key facts: register_plugin_function, stable since 1.0, pyo3-polars cookiecutter, 10-100x faster, optim"
q-polars-007,meta_harness_optimized,"What's the difference between `.over()` with `mapping_strategy=""explode""` vs the default, and when would I use each?","## `.over()` Mapping Strategies: `""explode""` vs Default (`""group_to_rows""`)  ### The Default: `group_to_rows`  The default strategy keeps results **aligned with their original row positions** in the DataFrame. Each computed value maps back to the exact row it came from.  ```python result = athletes.select(     pl.col(""athlete"", ""rank"").sort_by(pl.col(""rank"")).over(pl.col(""country"")),     pl.col(""country""), ) ```  Use this when **row identity matters** — for example, when you need per-group conte","With the default `mapping_strategy=""group_to_rows""`, window-function results stay aligned with their original row positions. With `mapping_strategy=""explode""`, rows belonging to the same partition are grouped together and reordered; this skips position tracking and is typically faster, but reorders ",1.0,0.328,0.0,0.0,16.548,14914,539,15453,0.05666,"Answer covers all key facts: group_to_rows is default, preserves row positions, explode reorders by partition and is fas"
q-polars-008,meta_harness_optimized,"For an asof join on trades vs quotes where both are sorted by (stock, time) but not globally, does Polars require a global sort?","## Asof Join Sortedness Requirements  No, a global sort is **not required**. According to the GitHub discussion **""join_asof on partially sorted data""**:  > With `by=""stock""`, the `on` column only needs to be sorted **within each `by` group**, not globally.  So for your trades vs quotes scenario, as long as the `time` column is sorted within each `stock` group, you're good to go.  ### Recommended Usage  ```python result = df_trades.join_asof(     df_quotes,     on=""time"",     by=""stock"",     che","No — when you pass `by=""stock""` to `join_asof`, the `on` column only needs to be sorted within each `by` group, not globally. Use `df_trades.join_asof(df_quotes, on=""time"", by=""stock"")`. Pass `check_sortedness=False` to skip the validation pass if your data is already sorted. Rows that exceed `toler",1.0,0.479,0.0,0.0,5.724,14916,311,15227,0.05244,"All four key facts covered: by= relaxes to within-group sort, correct join_asof syntax, check_sortedness=False, and tole"
q-polars-009,meta_harness_optimized,What's the best way to fill missing numeric values in between known values with interpolated estimates?,"## Filling Missing Numeric Values with Interpolation  The best way is to use **`interpolate()`** directly on the column expression. This is the current, recommended API.  ```python import polars as pl  df = pl.DataFrame({     ""col1"": [0.5, 1, 1.5, 2, 2.5],     ""col2"": [1, None, 3, None, 5], })  df.with_columns(pl.col(""col2"").interpolate()) ```  ### Key things to know  - **Linear interpolation** is performed between neighboring non-null values - **Leading and trailing nulls are intentionally left","Use `pl.col(""x"").interpolate()` — it performs linear interpolation between neighboring non-null values on numeric columns. Note that leading and trailing nulls are left as null because there is no anchor to interpolate from. This is distinct from `fill_null(strategy=""forward""|""backward"")`, which car",1.0,0.322,0.0,0.25,7.761,14903,411,15314,0.05402,"Answer covers all key facts: interpolate() usage, leading/trailing nulls stay null, numeric only, distinction from fill_"
q-polars-010,meta_harness_optimized,"What's the difference between how Polars handles null and NaN in a floating-point column, and how do they behave in aggregations like mean?","## Null vs. NaN in Polars Floating-Point Columns  Polars treats `null` and `NaN` as **fundamentally different concepts**, even in float columns.  ### What They Represent  | Aspect | `null` | `NaN` | |---|---|---| | Meaning | Missing / unknown data | Invalid float result (e.g. 0/0) | | Tracked via | Validity bitmap (metadata) | Stored as an actual float value | | Counted by `null_count()` | ✅ Yes | ❌ No | | Affected by `fill_null()` | ✅ Yes | ❌ No | | Affected by `fill_nan()` | ❌ No | ✅ Yes |  > ","Null represents missing data and is tracked via a per-column validity bitmap — it is counted by `null_count` and skipped in aggregations like `mean`/`sum`. NaN is a valid floating-point value, is NOT counted by `null_count`, and propagates through aggregations (mean of a column containing NaN is NaN",1.0,0.311,0.0,0.0,14.29,14917,565,15482,0.05715,"Agent answer covers all key facts: validity bitmap, null_count ignoring NaN, null skipped/NaN propagates in aggregations"
q-polars-001,rag_embedding,What's the correct way to group a DataFrame by a column and sum another column in recent Polars? I keep seeing `groupby` in old StackOverflow answers but it doesn't work.,"## Grouping and Summing in Modern Polars  You're running into a **renamed method**. The old `groupby` spelling no longer exists.  ### What Changed  `groupby` was renamed to **`group_by`** (with an underscore) in Polars 0.19 and **fully removed** later in 0.19/0.20. As of Polars 0.20 and beyond, calling `df.groupby(...)` will raise an `AttributeError`. [Is groupby or group_by correct?]  ### Correct Syntax  ```python df.group_by(""user_id"").agg(pl.col(""amount"").sum()) ```  This follows Polars' cons","Use `group_by` (with an underscore). The method was renamed from `groupby` to `group_by` in Polars 0.19 and the old name was removed shortly after. Correct usage: `df.group_by(""user_id"").agg(pl.col(""amount"").sum())`.",1.0,0.306,0.0,0.0,6.532,2345,335,2680,0.01516,"Answer correctly identifies group_by with underscore, removal after 0.19, and provides exact correct usage df.group_by(c"
q-polars-002,rag_embedding,I want to apply a custom Python function to every row in a Polars column. What's the current method name?,"## Applying a Custom Python Function Per Row in Polars  The current method is **`map_elements()`**.  > `apply` has been gone for a while. The replacement is `map_elements` for per-row Python calls. > [Does pl.col().apply() still work?]  ### Basic Usage  ```python pl.col(""x"").map_elements(my_fn, return_dtype=pl.Float64) ```  ### Important Notes  1. **Always pass `return_dtype`** — the type inferred from the first value can cause bugs otherwise. [Does pl.col().apply() still work?]  2. **It is slow","Use `map_elements` for per-row Python functions, or `map_batches` when you want the whole Series passed at once. The old `apply` method was deprecated in 0.18 and removed in 0.20+. Always pass `return_dtype=...` — for example `pl.col(""x"").map_elements(my_fn, return_dtype=pl.Float64)`.",1.0,0.404,0.0,0.25,9.956,2368,338,2706,0.0152,"Answer covers all key facts: map_elements for per-row, map_batches for whole-Series, apply removed in 0.20+, and return_"
q-polars-003,rag_embedding,How do I compute a running total over a column in the current Polars release?,"## Computing a Running Total in Polars  Use the **`cum_sum()`** method on your column expression:  ```python pl.col(""amount"").cum_sum() ```  ### Important Note on Naming  If you've seen `cumsum()` in older code or tutorials, be aware that it was renamed as part of a snake-case standardisation of the API. The old `cumsum()` name was **deprecated in 0.19.14 and removed in 1.0**. [cumsum deprecation warning in 1.3? [github @ 2026-04-07]]  The full renamed family is:  | Old (removed) | New (current)","Use `cum_sum` (snake_cased) — for example `pl.col(""amount"").cum_sum()`. The old `cumsum` name was deprecated in 0.19.14 and removed in 1.0 as part of snake-casing the whole `cum_*` family (`cum_sum`, `cum_prod`, `cum_min`, `cum_max`, `cum_count`).",1.0,0.426,0.0,0.0,12.108,2469,333,2802,0.01528,"Agent answer fully matches golden answer: correct cum_sum usage, removal in 1.0, full snake-cased cum_* family listed."
q-polars-004,rag_embedding,I'm reshaping a wide DataFrame to long format and `df.melt(...)` is throwing AttributeError on Polars 1.4. What's the right API?,"## `melt` Has Been Renamed to `unpivot`  The `melt` method was renamed to **`unpivot`** in Polars 1.0 (July 2024) as part of the 1.0 stabilization effort, aligning with the pivot/unpivot convention used in SQL and Spark. [melt renamed?]  ### Updated Syntax  ```python # Old (Polars < 1.0) — no longer works df.melt(id_vars=[""date""], value_vars=[""a"", ""b"", ""c""])  # New (Polars 1.0+) — correct API df.unpivot(     on=[""a"", ""b"", ""c""],     index=[""date""],     variable_name=""variable"",     value_name=""va","`melt` was renamed to `unpivot` in Polars 1.0. Use `df.unpivot(on=[""a"",""b"",""c""], index=[""date""], variable_name=""variable"", value_name=""value"")`. Note the parameter renames too: `id_vars` became `index` and `value_vars` became `on`.",1.0,0.408,0.0,0.0,9.348,2430,282,2712,0.01444,"Answer correctly identifies unpivot replacing melt in Polars 1.0, with all key parameter renames (id_vars→index, value_v"
q-polars-005,rag_embedding,"I have a 120 GB NDJSON file and want to filter, group, and write out to Parquet without blowing up memory. What's the right pattern?","## Recommended Pattern for Large NDJSON → Parquet Pipelines  For a 120 GB file, you want **end-to-end streaming directly to a sink**. Here's the right approach:  ```python lf = pl.scan_ndjson(""your_file.ndjson"")  (     lf     .filter(...)          # your filter conditions     .group_by(...).agg(...) # your aggregations     .sink_parquet(""output.parquet"")  # streams chunk-by-chunk to disk ) ```  ### Why this pattern?  1. **Use `scan_ndjson()` not `read_ndjson()`** — this creates a `LazyFrame` and","Use `sink_parquet` directly on the LazyFrame instead of `collect().write_parquet(...)`. Only `sink_*` APIs guarantee end-to-end chunked execution to disk; `collect(engine=""streaming"")` still materializes the final result in memory before writing. Also check `lf.show_graph(engine=""streaming"")` to ver",1.0,0.252,0.0,0.0,11.155,2034,537,2571,0.01793,"Agent answer covers all key facts: sink_parquet for streaming writes, collect() still materializes, show_graph for debug"
q-polars-006,rag_embedding,"Does Polars have an official plugin API for writing custom expressions in Rust, or do I have to use map_elements?","## Yes — Polars Has an Official Plugin API  You do **not** have to use `map_elements`. Polars has a stable, official plugin API specifically designed for custom expressions written in Rust.  ### Plugin API (Recommended for Performance)  As of Polars 1.0, the plugin API is stable. You can write expressions in Rust (or any language that emits a `cdylib` exposing the Polars Arrow ABI) and register them using:  ```python polars.plugins.register_plugin_function(     plugin_path=...,     function_name","Yes — the Polars plugin API is stable as of 1.0. Register Rust (or any cdylib) extensions via `polars.plugins.register_plugin_function(plugin_path=..., function_name=..., args=..., is_elementwise=...)`. Use the `pyo3-polars` cookiecutter template. Plugins are roughly 10-100x faster than `map_element",1.0,0.32,0.0,0.2,13.369,2487,499,2986,0.01862,"All key facts present: register_plugin_function, stable since 1.0, pyo3-polars cookiecutter, 10-100x faster, optimizer p"
q-polars-007,rag_embedding,"What's the difference between `.over()` with `mapping_strategy=""explode""` vs the default, and when would I use each?","## `.over()` Mapping Strategies: `explode` vs Default (`group_to_rows`)  ### Default: `group_to_rows`  Results stay **aligned with their original row positions** in the DataFrame. The output rows appear in the same order as the input. [Window Functions [polars-docs @ 2026-01-01T00:00:00Z]]  ```python result = athletes.select(     pl.col(""athlete"", ""rank"").sort_by(pl.col(""rank"")).over(pl.col(""country"")),     pl.col(""country""), ) ```  ### `explode`  Groups rows **by partition, reordering them toge","With the default `mapping_strategy=""group_to_rows""`, window-function results stay aligned with their original row positions. With `mapping_strategy=""explode""`, rows belonging to the same partition are grouped together and reordered; this skips position tracking and is typically faster, but reorders ",1.0,0.316,0.0,0.0,7.533,2381,582,2963,0.01982,"Answer covers all key facts: group_to_rows is default, preserves row order; explode reorders by partition and is faster;"
q-polars-008,rag_embedding,"For an asof join on trades vs quotes where both are sorted by (stock, time) but not globally, does Polars require a global sort?","## No, Global Sort Is Not Required  Polars does **not** require a global sort for `join_asof` when you use the `by=` parameter.  When you specify `by=""stock""`, the `on` column (e.g., `time`) only needs to be sorted **within each `by` group** — not across the entire DataFrame. Your data being sorted by `(stock, time)` is exactly the right structure for this. [join_asof on partially sorted data]  ---  ## Recommended Usage  ```python result = df_trades.join_asof(     df_quotes,     on=""time"",     b","No — when you pass `by=""stock""` to `join_asof`, the `on` column only needs to be sorted within each `by` group, not globally. Use `df_trades.join_asof(df_quotes, on=""time"", by=""stock"")`. Pass `check_sortedness=False` to skip the validation pass if your data is already sorted. Rows that exceed `toler",1.0,0.428,0.0,0.0,9.039,2584,354,2938,0.0162,"All four key facts covered: by= relaxes sort to within-group, correct join_asof syntax, check_sortedness=False, and tole"
q-polars-009,rag_embedding,What's the best way to fill missing numeric values in between known values with interpolated estimates?,"## Interpolating Missing Numeric Values in Polars  The recommended approach is to use **`interpolate()`** directly on the column:  ```python df.with_columns(pl.col(""col2"").interpolate()) ```  This performs **linear interpolation between neighboring non-null values** for numeric columns. [Null and Missing Data Handling]  ### Important Behavior to Know  - **Interior nulls** (between two known values) will be filled with interpolated estimates ✅ - **Leading/trailing nulls** (at the beginning or end","Use `pl.col(""x"").interpolate()` — it performs linear interpolation between neighboring non-null values on numeric columns. Note that leading and trailing nulls are left as null because there is no anchor to interpolate from. This is distinct from `fill_null(strategy=""forward""|""backward"")`, which car",1.0,0.402,0.0,0.0,10.035,2390,318,2708,0.01476,"Answer covers all key facts: interpolate() usage, leading/trailing nulls stay null, numeric columns, and distinction fro"
q-polars-010,rag_embedding,"What's the difference between how Polars handles null and NaN in a floating-point column, and how do they behave in aggregations like mean?","## Null vs. NaN in Polars Floating-Point Columns  ### Core Distinction  Polars treats these as **fundamentally different concepts**:  - **`null`** represents **missing data** and is tracked via a validity bitmap (requiring only n/8 bytes for a series of length n). It applies uniformly across *all* dtypes. - **`NaN`** (Not a Number) is a **valid floating-point value** — it is *not* considered missing data, and is only applicable to floating-point columns.  [Null and Missing Data Handling]  ---  #","Null represents missing data and is tracked via a per-column validity bitmap — it is counted by `null_count` and skipped in aggregations like `mean`/`sum`. NaN is a valid floating-point value, is NOT counted by `null_count`, and propagates through aggregations (mean of a column containing NaN is NaN",1.0,0.39,0.0,0.0,11.03,2278,473,2751,0.01747,"Answer covers all key facts: validity bitmap, null_count ignoring NaN, null skipped/NaN propagates in aggregations, and "
